Search_method Problem Max_evals Run Score
random_search knapPI_11_20_1000_4 100000 0 1400N
random_search knapPI_11_20_1000_4 100000 1 1440N
random_search knapPI_11_20_1000_4 100000 2 1440N
random_search knapPI_11_20_1000_4 100000 3 1440N
random_search knapPI_11_20_1000_4 100000 4 1400N
random_search knapPI_11_20_1000_4 100000 5 1400N
random_search knapPI_11_20_1000_4 100000 6 1400N
random_search knapPI_11_20_1000_4 100000 7 1400N
random_search knapPI_11_20_1000_4 100000 8 1400N
random_search knapPI_11_20_1000_4 100000 9 1400N
random_search knapPI_11_20_1000_4 100000 10 1400N
random_search knapPI_11_20_1000_4 100000 11 1400N
random_search knapPI_11_20_1000_4 100000 12 1440N
random_search knapPI_11_20_1000_4 100000 13 1400N
random_search knapPI_11_20_1000_4 100000 14 1440N
random_search knapPI_11_20_1000_4 100000 15 1400N
random_search knapPI_11_20_1000_4 100000 16 1440N
random_search knapPI_11_20_1000_4 100000 17 1400N
random_search knapPI_11_20_1000_4 100000 18 1400N
random_search knapPI_11_20_1000_4 100000 19 1400N
random_search knapPI_13_20_1000_4 100000 0 907N
random_search knapPI_13_20_1000_4 100000 1 907N
random_search knapPI_13_20_1000_4 100000 2 907N
random_search knapPI_13_20_1000_4 100000 3 907N
random_search knapPI_13_20_1000_4 100000 4 907N
random_search knapPI_13_20_1000_4 100000 5 907N
random_search knapPI_13_20_1000_4 100000 6 907N
random_search knapPI_13_20_1000_4 100000 7 907N
random_search knapPI_13_20_1000_4 100000 8 907N
random_search knapPI_13_20_1000_4 100000 9 907N
random_search knapPI_13_20_1000_4 100000 10 907N
random_search knapPI_13_20_1000_4 100000 11 907N
random_search knapPI_13_20_1000_4 100000 12 907N
random_search knapPI_13_20_1000_4 100000 13 907N
random_search knapPI_13_20_1000_4 100000 14 907N
random_search knapPI_13_20_1000_4 100000 15 907N
random_search knapPI_13_20_1000_4 100000 16 907N
random_search knapPI_13_20_1000_4 100000 17 890N
random_search knapPI_13_20_1000_4 100000 18 907N
random_search knapPI_13_20_1000_4 100000 19 889N
random_search knapPI_16_20_1000_4 100000 0 2575N
